name,domain,category,subcategory,description,start_date,end_date,city,country,venue_name,estimated_attendance,ticket_price_min,ticket_price_max,currency,website_url,year,sponsors,speakers,data_source,extraction_method
ARResonance - Live Music Concert,music_festival,Concert,,,2026-04-18,,Bangalore,India,Namma Ashram,,499.0,799.0,INR,https://www.skillboxes.com/events/arresonance-live-music-concert,2026,,,skillboxes,crawl4ai_markdown
WhipMantra 4.0 | Supercar Catwalk x Live Concert,music_festival,Concert,,,2026-04-25,,Gurugram,India,Backyard Sports Club,,749.0,749.0,INR,https://www.skillboxes.com/events/whipmantra-4-0-supercar-catwalk-x-live-concert,2026,,,skillboxes,crawl4ai_markdown
Shaam-e-Sufiyana ft. Yaman Sharma!,music_festival,Concert,,,2026-04-24,,Noida,India,Basko,,4000.0,16000.0,INR,https://www.skillboxes.com/events/shaam-e-sufiyana-ft-yaman-sharma-5,2026,,,skillboxes,crawl4ai_markdown
Ruhani Mehfil - Connect to Soul,music_festival,Concert,,,2026-04-15,,Dehradun,India,Studio XO Bar Dehradun,,299.0,499.0,INR,https://www.skillboxes.com/events/ruhani-mehfil-connect-to-soul,2026,,,skillboxes,crawl4ai_markdown
UNACCOMPANIED: The Soloist Summit,music_festival,Concert,,,2026-05-02,,Goa,India,Saltamontes - Garden Cafe & Bar,,,,INR,https://www.skillboxes.com/events/unaccompanied-the-soloist-summit,2026,,,skillboxes,crawl4ai_markdown
Bangalore - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-07-31,,Bangalore,India,To Be Decided,,199.0,499.0,INR,https://www.skillboxes.com/events/bangalore-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
HVOB - The Silver Cage | New Delhi,music_festival,Concert,,,2026-09-11,,New Delhi,India,To Be Decided,,1499.0,50000.0,INR,https://www.skillboxes.com/events/hvob-the-silver-cage-new-delhi,2026,,,skillboxes,crawl4ai_markdown
HVOB - The Silver Cage | Mumbai,music_festival,Concert,,,2026-09-12,,Mumbai,India,To Be Decided,,1499.0,50000.0,INR,https://www.skillboxes.com/events/hvob-the-silver-cage-mumbai,2026,,,skillboxes,crawl4ai_markdown
Hyderabad - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-08-02,,Hyderabad,India,To Be Decided,,199.0,499.0,INR,https://www.skillboxes.com/events/hyderabad-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
Goa - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-06-18,,Goa,India,To Be Decided,,199.0,349.0,INR,https://www.skillboxes.com/events/goa-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
Rehmat-e-Nusrat Live: Qawwali Unplugged,music_festival,Concert,,,2026-04-24,,Hyderabad,India,Windmills Craftworks,,999.0,1999.0,INR,https://www.skillboxes.com/events/rehmat-e-nusrat-live-qawwali-unplugged,2026,,,skillboxes,crawl4ai_markdown
CIRCUITX & antiSOCIAL present DLV,music_festival,Concert,,,2026-04-18,,Mumbai,India,antiSOCIAL,,500.0,2100.0,INR,https://www.skillboxes.com/events/circuitx-antisocial-present-dlv,2026,,,skillboxes,crawl4ai_markdown
Lakkshya,music_festival,Concert,,,2026-06-06,,Hyderabad,India,Windmills Craftworks,,999.0,1999.0,INR,https://www.skillboxes.com/events/lakkshya-2,2026,,,skillboxes,crawl4ai_markdown
FLOORPLAY (Debut Edition) | MUMBAI | 24 APRIL,music_festival,Concert,,,2026-04-24,,Mumbai,India,Raasta Bombay,,499.0,499.0,INR,https://www.skillboxes.com/events/floorplay-debut-edition-mumbai-24-april,2026,,,skillboxes,crawl4ai_markdown
Tunes-Day!,music_festival,Concert,,,2026-04-14,,Goa,India,Acajaiba,,499.0,499.0,INR,https://www.skillboxes.com/events/tunes-day,2026,,,skillboxes,crawl4ai_markdown
Chennai - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-08-01,,Chennai,India,To Be Decided,,199.0,499.0,INR,https://www.skillboxes.com/events/chennai-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
The Qisse Experience | Pune,music_festival,Concert,,,2026-04-26,,Pune,India,High Spirits Cafe,,499.0,499.0,INR,https://www.skillboxes.com/events/the-qisse-experience-pune,2026,,,skillboxes,crawl4ai_markdown
Silly Bar Presents: Dangerous - Not for the Easily Offended,music_festival,Concert,,,2026-04-17,,Bangalore,India,Silly Bar,,299.0,299.0,INR,https://www.skillboxes.com/events/silly-bar-presents-dangerous-not-for-the-easily-offended,2026,,,skillboxes,crawl4ai_markdown
Jaipur - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-04-26,,Jaipur,India,To Be Decided,,199.0,499.0,INR,https://www.skillboxes.com/events/dehradun-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
"Freak Opera ft. GST, Kandy Kuri, Kaydi & Praj #TheBurrowBlr",music_festival,Concert,,,2026-04-19,,Bangalore,India,The Burrow,,499.0,499.0,INR,https://www.skillboxes.com/events/freak-opera-ft-gst-kandy-kuri-kaydi-praj-theburrowblr,2026,,,skillboxes,crawl4ai_markdown
Vasu Raina Live,music_festival,Concert,,,2026-04-26,,New Delhi,India,The Piano Man New Delhi (Eldeco Centre),,499.0,499.0,INR,https://www.skillboxes.com/events/vasu-raina-live,2026,,,skillboxes,crawl4ai_markdown
Live Music with Bryan,music_festival,Concert,,,2026-04-18,,Goa,India,Saltamontes - Garden Cafe & Bar,,,,INR,https://www.skillboxes.com/events/live-music-with-bryan,2026,,,skillboxes,crawl4ai_markdown
Intimate Music Sessions — Legends of Music,music_festival,Concert,,,2026-04-17,,Goa,India,Saltamontes - Garden Cafe & Bar,,300.0,300.0,INR,https://www.skillboxes.com/events/intimate-music-sessions-legends-of-music,2026,,,skillboxes,crawl4ai_markdown
Pune - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-06-19,,Pune,India,To Be Decided,,199.0,497.0,INR,https://www.skillboxes.com/events/pune-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
ELECTRIC MONSOON,music_festival,Concert,,,2026-04-24,,Zirakpur,India,Romeo Lane,,799.0,999.0,INR,https://www.skillboxes.com/events/electric-monsoon,2026,,,skillboxes,crawl4ai_markdown
Minority Report - An Out Of The Box Standup Comedy Show,music_festival,Concert,,,2026-04-18,,Bangalore,India,TAG Comedy Club (The Art Gully Studios),,199.0,199.0,INR,https://www.skillboxes.com/events/minority-report-an-out-of-the-box-comedy-show,2026,,,skillboxes,crawl4ai_markdown
Kai Room presents KODE? ft. AFEM SYKO & KAUFMANN,music_festival,Concert,,,2026-04-18,,Gurugram,India,KAI,,799.0,1499.0,INR,https://www.skillboxes.com/events/kai-room-presents-kode-afem-syko-kaufmann,2026,,,skillboxes,crawl4ai_markdown
OVERDRIVE LIVE in MUMBAI,music_festival,Concert,,,2026-05-24,,Mumbai,India,The Stables India,,499.0,499.0,INR,https://www.skillboxes.com/events/overdrive-live-in-mumbai,2026,,,skillboxes,crawl4ai_markdown
SOCIAL Presents DJ AANVI | Sector 7 SOCIAL,music_festival,Concert,,,2026-04-17,,Chandigarh,India,Sector 7 Social,,,,INR,https://www.skillboxes.com/events/social-presents-dj-aanvi-sector-7-social,2026,,,skillboxes,crawl4ai_markdown
BOLLY AFRO FT. DJ SUKANT X DJ REVIBE AT YEDA REPUBLIC KORAMANGALA,music_festival,Concert,,,2026-04-16,,Bangalore,India,Yeda Republic Bengaluru,,,,INR,https://www.skillboxes.com/events/bolly-afro-ft-dj-sukant-x-dj-revibe-at-yeda-republic-koramangala,2026,,,skillboxes,crawl4ai_markdown
Ballantine's Soda Presents - Unofficial Evening at 101 Experience ft. Argy,music_festival,Concert,,,2026-04-24,,Gurugram,India,A DOT by GNH,,3101.0,12101.0,INR,https://www.skillboxes.com/events/101-experience-at-club-xs-adot,2026,,,skillboxes,crawl4ai_markdown
Backstage Siblings - Bhajan Jamming Tour Dehradun,music_festival,Concert,,,2026-05-23,,Dehradun,India,To Be Decided,,799.0,999.0,INR,https://www.skillboxes.com/events/backstage-sibling-bhajan-jamming-tour,2026,,,skillboxes,crawl4ai_markdown
Blue Material - An All Dalit Lineup Standup Comedy Show,music_festival,Concert,,,2026-05-10,,Mumbai,India,Backspace Lower Parel,,299.0,499.0,INR,https://www.skillboxes.com/events/blue-material-an-all-dalit-lineup-standup-comedy-show,2026,,,skillboxes,crawl4ai_markdown
Earth Day Workshop & Live Music at TreeHouse,music_festival,Concert,,,2026-04-25,,Bangalore,India,To Be Decided,,199.0,499.0,INR,https://www.skillboxes.com/events/earth-day-sundowner,2026,,,skillboxes,crawl4ai_markdown
"Mandragora, Novlik & More in Hyderabad",music_festival,Concert,,,2026-05-01,,Hyderabad,India,Kingdome Klub & Kitchen - Best Night club in Hyderabad,,299.0,999.0,INR,https://www.skillboxes.com/events/mandragora-novlik-more-in-hyderabad,2026,,,skillboxes,crawl4ai_markdown
Dopafitt Gym Rave,music_festival,Concert,,,2026-04-19,,New Delhi,India,Dopafitt,,299.0,299.0,INR,https://www.skillboxes.com/events/dopafitt-gym-rave,2026,,,skillboxes,crawl4ai_markdown
Blackstratblues Live at the Warehouse #04 (Show 02),music_festival,Concert,,,2026-05-09,,Mumbai,India,G5A,,749.0,1499.0,INR,https://www.skillboxes.com/events/blackstratblues-live-at-the-warehouse-04-show-02,2026,,,skillboxes,crawl4ai_markdown
Karaoke Night,music_festival,Concert,,,2026-04-14,,Goa,India,Saltamontes - Garden Cafe & Bar,,,,INR,https://www.skillboxes.com/events/karaoke-night-5,2026,,,skillboxes,crawl4ai_markdown
The Opening Riot,music_festival,Concert,,,2026-04-13,,Lucknow,India,Vint Club - Restaurant | Cafe | Dining | Pool Party,,699.0,2399.0,INR,https://www.skillboxes.com/events/the-opening-riot,2026,,,skillboxes,crawl4ai_markdown
TSM Spotlight | A Student Showcase,music_festival,Concert,,,2026-04-15,,Mumbai,India,antiSOCIAL,,,,INR,https://www.skillboxes.com/events/tsm-spotlight-an-student-showcase,2026,,,skillboxes,crawl4ai_markdown
Kochi - Endless Pursuits Tour by Time Throttle,music_festival,Concert,,,2026-07-30,,Kochi,India,To Be Decided,,199.0,499.0,INR,https://www.skillboxes.com/events/kochi-endless-pursuits-tour-by-time-throttle,2026,,,skillboxes,crawl4ai_markdown
TRAPPERX - #1 Bollytech DJ of INDIA,music_festival,Concert,,,2026-04-23,,Sonipat,India,Sumosh Nightclub - Best Bar near Delhi,,499.0,2999.0,INR,https://www.skillboxes.com/events/trapperx-1-bollytech-dj-of-india,2026,,,skillboxes,crawl4ai_markdown
ACID RECALL,music_festival,Concert,,,2026-04-17,,New Delhi,India,Bülach,,499.0,1999.0,INR,https://www.skillboxes.com/events/acid-recall,2026,,,skillboxes,crawl4ai_markdown
Blackstratblues Live at the Warehouse #04 (Show 01),music_festival,Concert,,,2026-05-09,,Mumbai,India,G5A warehouse,,749.0,1499.0,INR,https://www.skillboxes.com/events/live-at-the-warehouse-03,2026,,,skillboxes,crawl4ai_markdown
D-Dion x Electronic Euphoria presents: ELECTRONIKA featuring Anthym & more,music_festival,Concert,,,2026-04-16,,New Delhi,India,D-Dion,,499.0,499.0,INR,https://www.skillboxes.com/events/d-dion-x-euphoria-presents-electronika,2026,,,skillboxes,crawl4ai_markdown
Naarma Presents Javi Torres,music_festival,Concert,,,2026-04-17,,New Delhi,India,Naarma,,699.0,999.0,INR,https://www.skillboxes.com/events/naarma-presents-javi-torres,2026,,,skillboxes,crawl4ai_markdown
